Date,Value
2022-09-19T05:42:05.664595Z,-97.3
2022-09-19T05:47:05.937124Z,-97.1
2022-09-19T05:51:52.496669Z,-97.3
2022-09-19T05:56:52.013534Z,-96.8
2022-09-19T06:01:49.392889Z,-96.4
2022-09-19T06:06:50.931896Z,-96.4
2022-09-19T06:11:34.292595Z,-95.0
2022-09-19T06:17:03.480584Z,-95.9
2022-09-19T06:21:45.768885Z,-96.8
2022-09-19T06:26:52.565041Z,-96.3
2022-09-19T06:31:55.222378Z,-96.3
2022-09-19T06:37:05.063134Z,-96.2
2022-09-19T06:41:43.847103Z,-96.8
2022-09-19T06:46:59.047612Z,-96.3
2022-09-19T06:51:52.270418Z,-96.5
2022-09-19T06:56:40.717907Z,-96.1
2022-09-19T07:01:53.189446Z,-95.8
2022-09-19T07:06:47.529350Z,-96.2
2022-09-19T07:11:25.393520Z,-96.3
2022-09-19T07:17:05.681738Z,-96.2
2022-09-19T07:21:55.235334Z,-95.9
2022-09-19T07:26:53.771341Z,-96.2
2022-09-19T07:31:55.543903Z,-96.2
2022-09-19T07:36:41.382688Z,-91.9
2022-09-19T07:41:52.646548Z,-95.7
2022-09-19T07:46:58.000853Z,-95.0
2022-09-19T07:51:51.605648Z,-95.4
2022-09-19T07:56:57.628414Z,-95.4
2022-09-19T08:01:56.746941Z,-95.8
2022-09-19T08:06:52.446301Z,-95.3
2022-09-19T08:11:53.590004Z,-95.5
2022-09-19T08:16:59.644034Z,-95.2
2022-09-19T08:21:56.616975Z,-91.6
2022-09-19T08:27:01.418674Z,-92.6
2022-09-19T08:32:04.024304Z,-95.6
2022-09-19T08:36:53.099716Z,-95.5
2022-09-19T08:41:33.311309Z,-95.2
2022-09-19T08:46:58.476527Z,-94.9
2022-09-19T08:51:54.382496Z,-93.6
2022-09-19T08:56:51.117560Z,-91.8
2022-09-19T09:02:05.675120Z,-89.6
2022-09-19T09:06:54.208932Z,-95.2
2022-09-19T09:11:52.522538Z,-94.8
2022-09-19T09:17:10.722992Z,-89.3
2022-09-19T09:21:47.671430Z,-93.9
2022-09-19T09:26:51.186023Z,-95.0
2022-09-19T09:31:52.783371Z,-91.8
2022-09-19T09:37:12.700204Z,-95.0
2022-09-19T09:42:14.491631Z,-95.0
2022-09-19T09:47:03.699645Z,-94.7
2022-09-19T09:51:57.025615Z,-92.8
2022-09-19T09:57:07.767960Z,-94.8
2022-09-19T10:01:52.956284Z,-93.6
2022-09-19T10:06:53.491686Z,-94.8
2022-09-19T10:11:45.092324Z,-94.6
2022-09-19T10:16:55.379399Z,-94.8
2022-09-19T10:21:53.145052Z,-94.8
2022-09-19T10:32:09.880338Z,-94.8
2022-09-19T10:37:06.072700Z,-94.5
2022-09-19T10:41:54.186945Z,-94.9
2022-09-19T10:46:54.968751Z,-94.8
2022-09-19T10:51:57.543406Z,-94.9
2022-09-19T10:56:38.346245Z,-94.6
2022-09-19T11:02:04.308212Z,-95.1
2022-09-19T11:06:52.164157Z,-92.8
2022-09-19T11:11:39.036540Z,-95.2
2022-09-19T11:17:03.720045Z,-94.9
2022-09-19T11:23:26.140098Z,-95.2
2022-09-19T11:27:16.873004Z,-95.4
2022-09-19T11:31:43.633183Z,-95.2
2022-09-19T11:36:53.368795Z,-94.4
